Timestamp,What is your current academic level?,What is your primary source of funding for your studies and living expenses?,What is your approximate monthly income/financial support? (in LKR),How much do you spend on TRANSPORTATION per month? (in LKR),Rate your comfort level with your current financial situation.,How would you rate the affordability of the following expenses in your area? [Accommodation (Rent/Housing)],How would you rate the affordability of the following expenses in your area? [Groceries/Food],"How would you rate the affordability of the following expenses in your area? [Course Materials (Books, supplies)]",How would you rate the affordability of the following expenses in your area? [Transportation],How would you rate the affordability of the following expenses in your area? [Social/Leisure Activities],In which areas do you wish you had more financial assistance or resources?,Approximately how many hours per week do you spend working (paid job)?,Please provide any additional comments on your student budget or financial challenges.
12/11/2025 10:58:05,Undergraduate,Scholarship/Grants,"More than LKR 75,000",14536,3,Very Affordable,Very Unaffordable,Affordable,Very Unaffordable,Very Unaffordable,"Accommodation, Tuition Fees",11-15 hours,I need to work more to cover rent.
07/11/2025 13:10:18,Undergraduate,"Parental/Family Support, Part-time Job, Scholarship/Grants","LKR 15,001 - 25,000",5733,2,Unaffordable,Very Unaffordable,Affordable,Neutral,Affordable,"Mental Health Services, Career Development Workshops, Emergency Funding",1-5 hours,Scholarship funds are delayed.
18/11/2025 09:08:37,Postgraduate,Student Loans,Prefer not to say,9446,3,Neutral,Affordable,Very Affordable,Very Unaffordable,Very Unaffordable,"Emergency Funding, Career Development Workshops, Mental Health Services",0 hours,Financial stress is very high this semester.
02/11/2025 20:27:56,Undergraduate,Parental/Family Support,"LKR 15,001 - 25,000",3179,1,Affordable,Very Affordable,Very Affordable,Very Affordable,Affordable,"None of the above, Career Development Workshops, Groceries/Food",16-20 hours,
31/10/2025 23:09:22,Undergraduate,"Student Loans, Parental/Family Support","LKR 50,001 - 75,000",16170,3,Very Unaffordable,Very Affordable,Very Unaffordable,Unaffordable,Very Affordable,"Career Development Workshops, Emergency Funding",6-10 hours,Scholarship funds are delayed.
02/11/2025 09:18:32,Undergraduate,"Part-time Job, Student Loans","LKR 50,001 - 75,000",13930,3,Very Affordable,Very Affordable,Affordable,Affordable,Affordable,"Groceries/Food, None of the above, Accommodation",6-10 hours,Scholarship funds are delayed.
27/10/2025 05:54:02,Undergraduate,"Parental/Family Support, Other (e.g., Freelancing), Scholarship/Grants","Less than LKR 15,000",982,4,Unaffordable,Very Affordable,Affordable,Affordable,Unaffordable,Groceries/Food,6-10 hours,
19/11/2025 03:59:55,Postgraduate,"Savings, Student Loans, Part-time Job","More than LKR 75,000",6514,3,Affordable,Unaffordable,Very Unaffordable,Unaffordable,Very Affordable,"Mental Health Services, Accommodation, Groceries/Food",16-20 hours,
17/11/2025 02:59:07,Undergraduate,Part-time Job,"Less than LKR 15,000",54,5,Very Unaffordable,Very Unaffordable,Unaffordable,Unaffordable,Very Affordable,Groceries/Food,6-10 hours,Financial stress is very high this semester.
03/11/2025 02:25:01,Undergraduate,"Part-time Job, Other (e.g., Freelancing), Parental/Family Support","More than LKR 75,000",21277,1,Neutral,Unaffordable,Very Affordable,Affordable,Very Unaffordable,"Tuition Fees, Groceries/Food, Emergency Funding",1-5 hours,I need to work more to cover rent.
11/11/2025 23:59:14,Undergraduate,"Scholarship/Grants, Other (e.g., Freelancing)","LKR 50,001 - 75,000",20630,3,Unaffordable,Unaffordable,Neutral,Affordable,Very Affordable,"Career Development Workshops, Tuition Fees",1-5 hours,
18/11/2025 08:26:11,Postgraduate,"Parental/Family Support, Part-time Job, Savings","LKR 35,001 - 50,000",4117,5,Affordable,Very Affordable,Unaffordable,Neutral,Very Unaffordable,Mental Health Services,16-20 hours,
29/10/2025 12:36:26,Undergraduate,Student Loans,Prefer not to say,5911,3,Neutral,Very Affordable,Unaffordable,Unaffordable,Very Unaffordable,None of the above,0 hours,The country sucks
03/11/2025 20:18:28,Postgraduate,"Other (e.g., Freelancing)","LKR 15,001 - 25,000",2697,3,Affordable,Affordable,Neutral,Very Unaffordable,Very Unaffordable,Mental Health Services,0 hours,Financial stress is very high this semester.
05/11/2025 16:41:42,Undergraduate,"Other (e.g., Freelancing), Part-time Job","More than LKR 75,000",24163,2,Unaffordable,Affordable,Very Unaffordable,Very Affordable,Very Unaffordable,"Accommodation, Career Development Workshops, Tuition Fees",0 hours,Scholarship funds are delayed.
10/11/2025 12:40:35,Undergraduate,"Savings, Student Loans, Scholarship/Grants","More than LKR 75,000",11801,3,Very Unaffordable,Unaffordable,Neutral,Very Affordable,Unaffordable,Tuition Fees,6-10 hours,I need to work more to cover rent.
04/11/2025 07:21:55,Undergraduate,Savings,"LKR 25,001 - 35,000",7783,3,Very Unaffordable,Very Affordable,Affordable,Affordable,Neutral,"Groceries/Food, Mental Health Services",11-15 hours,The country sucks
16/11/2025 20:56:40,Undergraduate,"Other (e.g., Freelancing)","LKR 25,001 - 35,000",8142,4,Unaffordable,Very Affordable,Very Affordable,Unaffordable,Very Affordable,Emergency Funding,1-5 hours,Scholarship funds are delayed.
12/11/2025 11:20:07,Postgraduate,"Parental/Family Support, Savings, Scholarship/Grants","LKR 35,001 - 50,000",2328,5,Very Unaffordable,Very Affordable,Unaffordable,Neutral,Unaffordable,"None of the above, Tuition Fees",1-5 hours,
14/11/2025 05:21:00,Undergraduate,"Scholarship/Grants, Savings, Other (e.g., Freelancing)","LKR 35,001 - 50,000",2533,3,Affordable,Neutral,Neutral,Unaffordable,Affordable,Tuition Fees,1-5 hours,
29/10/2025 20:29:55,Undergraduate,Part-time Job,"LKR 35,001 - 50,000",7521,4,Very Unaffordable,Very Affordable,Affordable,Unaffordable,Neutral,Career Development Workshops,1-5 hours,
04/11/2025 21:15:53,Undergraduate,"Part-time Job, Parental/Family Support","Less than LKR 15,000",164,3,Unaffordable,Affordable,Very Unaffordable,Very Unaffordable,Neutral,"Mental Health Services, Tuition Fees",11-15 hours,I need to work more to cover rent.
17/11/2025 11:22:58,Postgraduate,Scholarship/Grants,"More than LKR 75,000",17289,3,Affordable,Very Affordable,Affordable,Very Unaffordable,Affordable,"Mental Health Services, Career Development Workshops",16-20 hours,
01/11/2025 12:57:53,Postgraduate,Part-time Job,"LKR 35,001 - 50,000",6294,5,Very Unaffordable,Affordable,Neutral,Very Unaffordable,Affordable,"None of the above, Accommodation, Tuition Fees",11-15 hours,
01/11/2025 23:39:46,Postgraduate,"Scholarship/Grants, Student Loans, Parental/Family Support","LKR 15,001 - 25,000",5229,3,Unaffordable,Very Affordable,Affordable,Unaffordable,Affordable,Career Development Workshops,1-5 hours,
15/11/2025 03:20:25,Undergraduate,"Scholarship/Grants, Student Loans","LKR 35,001 - 50,000",7192,2,Neutral,Unaffordable,Very Affordable,Very Unaffordable,Neutral,"Career Development Workshops, Emergency Funding, None of the above",16-20 hours,Financial stress is very high this semester.
16/11/2025 05:27:38,Undergraduate,Savings,"LKR 25,001 - 35,000",4010,4,Unaffordable,Affordable,Very Unaffordable,Affordable,Affordable,"Mental Health Services, Groceries/Food",11-15 hours,
17/11/2025 20:12:48,Undergraduate,Parental/Family Support,"LKR 25,001 - 35,000",3849,3,Unaffordable,Very Unaffordable,Affordable,Affordable,Very Affordable,Groceries/Food,6-10 hours,Financial stress is very high this semester.
04/11/2025 09:52:02,Undergraduate,"Other (e.g., Freelancing)","LKR 25,001 - 35,000",7761,5,Neutral,Very Affordable,Very Unaffordable,Affordable,Neutral,Mental Health Services,16-20 hours,
12/11/2025 05:59:37,Undergraduate,"Other (e.g., Freelancing), Student Loans","LKR 35,001 - 50,000",9222,3,Neutral,Unaffordable,Unaffordable,Unaffordable,Very Unaffordable,Mental Health Services,11-15 hours,
08/11/2025 04:55:03,Undergraduate,Parental/Family Support,"LKR 50,001 - 75,000",20346,5,Very Affordable,Neutral,Very Unaffordable,Very Unaffordable,Affordable,Emergency Funding,6-10 hours,
18/11/2025 03:25:55,Postgraduate,"Parental/Family Support, Student Loans, Part-time Job","More than LKR 75,000",8580,5,Unaffordable,Neutral,Neutral,Very Unaffordable,Very Affordable,Emergency Funding,11-15 hours,Financial stress is very high this semester.
04/11/2025 04:44:46,Postgraduate,"Savings, Parental/Family Support, Scholarship/Grants","LKR 35,001 - 50,000",2174,3,Very Unaffordable,Very Unaffordable,Neutral,Very Unaffordable,Very Unaffordable,"Groceries/Food, Accommodation, Career Development Workshops",More than 20 hours,The country sucks
06/11/2025 20:32:52,Postgraduate,Savings,"Less than LKR 15,000",564,3,Neutral,Affordable,Neutral,Unaffordable,Very Affordable,Emergency Funding,0 hours,
11/11/2025 23:33:02,Undergraduate,Part-time Job,"Less than LKR 15,000",100,3,Very Unaffordable,Affordable,Neutral,Unaffordable,Neutral,"Groceries/Food, Emergency Funding",0 hours,Financial stress is very high this semester.
21/11/2025 06:12:21,Undergraduate,"Parental/Family Support, Other (e.g., Freelancing)","LKR 25,001 - 35,000",3517,2,Affordable,Neutral,Very Affordable,Affordable,Unaffordable,"Mental Health Services, Groceries/Food",1-5 hours,
18/11/2025 15:05:30,Undergraduate,"Other (e.g., Freelancing), Scholarship/Grants, Part-time Job",Prefer not to say,3039,4,Very Affordable,Very Unaffordable,Affordable,Neutral,Unaffordable,"Tuition Fees, Mental Health Services, Accommodation",More than 20 hours,
15/11/2025 14:56:58,Postgraduate,"Part-time Job, Savings, Other (e.g., Freelancing)","LKR 35,001 - 50,000",8034,3,Affordable,Unaffordable,Neutral,Affordable,Neutral,"Mental Health Services, Accommodation, Groceries/Food",11-15 hours,
29/10/2025 03:37:06,Undergraduate,"Other (e.g., Freelancing), Scholarship/Grants, Savings","LKR 50,001 - 75,000",16479,1,Very Affordable,Unaffordable,Very Unaffordable,Very Affordable,Very Affordable,Groceries/Food,0 hours,Financial stress is very high this semester.
14/11/2025 10:21:17,Undergraduate,"Part-time Job, Student Loans, Other (e.g., Freelancing)","LKR 15,001 - 25,000",5476,2,Affordable,Very Unaffordable,Unaffordable,Neutral,Unaffordable,"Groceries/Food, Emergency Funding",11-15 hours,
23/11/2025 05:44:14,Postgraduate,Part-time Job,Prefer not to say,7225,3,Very Unaffordable,Very Affordable,Very Unaffordable,Unaffordable,Neutral,Tuition Fees,0 hours,
22/11/2025 00:01:25,Undergraduate,"Other (e.g., Freelancing)","More than LKR 75,000",9991,2,Very Unaffordable,Affordable,Unaffordable,Affordable,Neutral,"Emergency Funding, Groceries/Food",0 hours,
12/11/2025 08:38:09,Postgraduate,Student Loans,"LKR 15,001 - 25,000",2423,1,Neutral,Affordable,Neutral,Very Unaffordable,Very Affordable,Emergency Funding,6-10 hours,
02/11/2025 04:53:09,Undergraduate,Student Loans,"LKR 25,001 - 35,000",1117,5,Affordable,Very Affordable,Neutral,Very Affordable,Neutral,Accommodation,11-15 hours,The country sucks
09/11/2025 06:03:19,Postgraduate,"Savings, Scholarship/Grants","Less than LKR 15,000",756,4,Affordable,Neutral,Very Unaffordable,Affordable,Very Affordable,"None of the above, Mental Health Services, Career Development Workshops",16-20 hours,
11/11/2025 11:25:46,Undergraduate,Student Loans,"More than LKR 75,000",14683,5,Neutral,Unaffordable,Very Unaffordable,Unaffordable,Neutral,"Tuition Fees, Mental Health Services, Career Development Workshops",0 hours,
21/11/2025 09:22:11,Undergraduate,"Part-time Job, Student Loans, Scholarship/Grants","LKR 15,001 - 25,000",9370,4,Very Affordable,Neutral,Affordable,Very Unaffordable,Neutral,Tuition Fees,1-5 hours,
06/11/2025 12:53:19,Postgraduate,"Part-time Job, Scholarship/Grants","LKR 15,001 - 25,000",6274,1,Very Affordable,Unaffordable,Affordable,Affordable,Very Affordable,"Career Development Workshops, Groceries/Food, Accommodation",More than 20 hours,
27/10/2025 06:38:53,Undergraduate,Parental/Family Support,Prefer not to say,8296,3,Neutral,Very Affordable,Very Unaffordable,Affordable,Very Unaffordable,Groceries/Food,1-5 hours,Scholarship funds are delayed.
08/11/2025 00:07:11,Undergraduate,"Parental/Family Support, Other (e.g., Freelancing)","Less than LKR 15,000",369,2,Unaffordable,Unaffordable,Neutral,Very Affordable,Very Unaffordable,Career Development Workshops,16-20 hours,
17/11/2025 01:13:04,Undergraduate,"Parental/Family Support, Student Loans","More than LKR 75,000",5863,2,Affordable,Unaffordable,Very Affordable,Very Affordable,Very Unaffordable,"Mental Health Services, Tuition Fees",11-15 hours,I need to work more to cover rent.
16/11/2025 13:56:55,Postgraduate,"Other (e.g., Freelancing)","LKR 35,001 - 50,000",5560,2,Very Affordable,Affordable,Neutral,Neutral,Very Unaffordable,None of the above,6-10 hours,
13/11/2025 10:36:29,Postgraduate,"Scholarship/Grants, Part-time Job, Savings","LKR 50,001 - 75,000",27339,1,Very Unaffordable,Neutral,Affordable,Very Unaffordable,Very Unaffordable,"None of the above, Tuition Fees, Accommodation",More than 20 hours,The country sucks
02/11/2025 18:39:06,Postgraduate,"Student Loans, Part-time Job",Prefer not to say,6104,1,Very Affordable,Neutral,Neutral,Unaffordable,Neutral,Mental Health Services,1-5 hours,
25/10/2025 17:45:27,Undergraduate,"Parental/Family Support, Part-time Job","LKR 35,001 - 50,000",6609,3,Unaffordable,Affordable,Unaffordable,Neutral,Very Unaffordable,"Accommodation, Career Development Workshops, Tuition Fees",11-15 hours,
20/11/2025 10:13:10,Postgraduate,"Other (e.g., Freelancing), Scholarship/Grants","Less than LKR 15,000",116,3,Very Affordable,Very Affordable,Very Affordable,Very Unaffordable,Unaffordable,Emergency Funding,6-10 hours,
16/11/2025 12:10:05,Postgraduate,"Savings, Other (e.g., Freelancing)",Prefer not to say,3421,1,Very Affordable,Unaffordable,Very Unaffordable,Neutral,Very Affordable,"Emergency Funding, Career Development Workshops",More than 20 hours,Scholarship funds are delayed.
02/11/2025 03:26:10,Postgraduate,"Student Loans, Other (e.g., Freelancing)",Prefer not to say,2973,3,Neutral,Affordable,Affordable,Unaffordable,Neutral,Tuition Fees,1-5 hours,
06/11/2025 02:06:28,Postgraduate,Student Loans,"LKR 25,001 - 35,000",2911,5,Very Affordable,Very Affordable,Unaffordable,Very Affordable,Affordable,"Emergency Funding, Career Development Workshops, None of the above",More than 20 hours,Financial stress is very high this semester.
27/10/2025 19:21:37,Undergraduate,"Part-time Job, Student Loans","LKR 50,001 - 75,000",16582,1,Very Unaffordable,Neutral,Very Affordable,Unaffordable,Neutral,"Emergency Funding, Mental Health Services, None of the above",0 hours,
29/10/2025 14:42:30,Undergraduate,"Student Loans, Savings","LKR 50,001 - 75,000",27242,4,Neutral,Neutral,Very Affordable,Neutral,Very Affordable,"Groceries/Food, None of the above, Emergency Funding",11-15 hours,
31/10/2025 14:53:05,Undergraduate,"Parental/Family Support, Part-time Job, Scholarship/Grants",Prefer not to say,1501,4,Neutral,Very Affordable,Unaffordable,Affordable,Affordable,"None of the above, Tuition Fees, Accommodation",0 hours,Scholarship funds are delayed.
24/11/2025 05:35:03,Undergraduate,"Savings, Parental/Family Support","LKR 25,001 - 35,000",9423,2,Affordable,Neutral,Neutral,Affordable,Neutral,"Accommodation, None of the above",6-10 hours,Financial stress is very high this semester.
23/11/2025 15:21:29,Postgraduate,Student Loans,"LKR 15,001 - 25,000",1901,3,Very Affordable,Unaffordable,Unaffordable,Affordable,Very Affordable,Tuition Fees,16-20 hours,Financial stress is very high this semester.
24/11/2025 11:38:43,Undergraduate,"Part-time Job, Parental/Family Support, Savings","LKR 50,001 - 75,000",23349,4,Unaffordable,Very Unaffordable,Unaffordable,Very Affordable,Very Affordable,"Mental Health Services, Emergency Funding, Groceries/Food",More than 20 hours,Scholarship funds are delayed.
24/11/2025 13:59:44,Undergraduate,Part-time Job,"Less than LKR 15,000",425,5,Very Affordable,Very Affordable,Unaffordable,Neutral,Very Affordable,"Career Development Workshops, Mental Health Services",More than 20 hours,I need to work more to cover rent.
21/11/2025 19:49:25,Postgraduate,Parental/Family Support,"LKR 25,001 - 35,000",1960,5,Very Unaffordable,Affordable,Very Unaffordable,Neutral,Unaffordable,"Groceries/Food, Emergency Funding",1-5 hours,
11/11/2025 10:23:40,Undergraduate,"Savings, Student Loans, Scholarship/Grants","LKR 50,001 - 75,000",27270,4,Neutral,Affordable,Unaffordable,Affordable,Very Affordable,None of the above,16-20 hours,
16/11/2025 02:12:38,Undergraduate,"Parental/Family Support, Part-time Job, Savings","LKR 15,001 - 25,000",5957,5,Neutral,Neutral,Affordable,Unaffordable,Neutral,"Emergency Funding, Career Development Workshops, Accommodation",16-20 hours,Financial stress is very high this semester.
07/11/2025 12:06:13,Undergraduate,"Other (e.g., Freelancing), Parental/Family Support","Less than LKR 15,000",710,2,Unaffordable,Affordable,Unaffordable,Unaffordable,Unaffordable,"Mental Health Services, Career Development Workshops",0 hours,Financial stress is very high this semester.
16/11/2025 16:38:50,Postgraduate,"Student Loans, Scholarship/Grants","More than LKR 75,000",5503,5,Very Affordable,Very Affordable,Very Affordable,Unaffordable,Neutral,"None of the above, Accommodation",0 hours,
07/11/2025 16:39:17,Postgraduate,"Parental/Family Support, Other (e.g., Freelancing), Scholarship/Grants","More than LKR 75,000",8496,4,Very Affordable,Very Unaffordable,Very Affordable,Unaffordable,Very Affordable,"Accommodation, Tuition Fees, Groceries/Food",16-20 hours,Financial stress is very high this semester.
27/10/2025 20:57:09,Undergraduate,"Scholarship/Grants, Part-time Job, Other (e.g., Freelancing)",Prefer not to say,1343,4,Very Affordable,Very Unaffordable,Very Affordable,Unaffordable,Neutral,"Accommodation, Groceries/Food",More than 20 hours,
15/11/2025 03:03:24,Undergraduate,Parental/Family Support,"LKR 25,001 - 35,000",4141,5,Very Affordable,Affordable,Unaffordable,Very Affordable,Very Affordable,"Tuition Fees, Mental Health Services",0 hours,
18/11/2025 19:37:08,Postgraduate,"Parental/Family Support, Scholarship/Grants","LKR 15,001 - 25,000",5111,3,Very Affordable,Affordable,Very Unaffordable,Unaffordable,Unaffordable,"Career Development Workshops, Accommodation, Tuition Fees",16-20 hours,The country sucks
27/10/2025 09:46:38,Undergraduate,"Student Loans, Part-time Job, Other (e.g., Freelancing)","LKR 15,001 - 25,000",9704,2,Affordable,Very Unaffordable,Neutral,Affordable,Very Unaffordable,"Tuition Fees, Career Development Workshops, Mental Health Services",11-15 hours,I need to work more to cover rent.
